ZINC_ID	MWT	LogP	Desolv_apolar	Desolv_polar	HBD	HBA	tPSA	Charge	NRB	SMILES
ZINC00117355	298.411	3.08	6.84	-10.54	3	3	51	0	5	c1ccc2c(c1)ccn2C[C@H](CSc3ccccc3N)O
ZINC00117356	280.327	3.83	2.42	-9	0	4	44	0	2	Cc1cc2c(cc1C)n(cn2)C(=O)c3ccc(cc3)OC
ZINC00117357	326.396	2.83	-1.02	-10.68	1	5	62	0	5	C[C@]1([C@@](N(C(=O)O1)Cc2ccccn2)(C)O)CCc3ccccc3
ZINC00117358	231.163	0.09	4.47	-122.11	1	6	113	-2	2	c1cc2c(cc1C(=O)[O-])c(=O)c(c[nH]2)C(=O)[O-]
ZINC00117359	286.356	3.21	-2.2	-11.69	0	4	51	0	2	Cc1cc2c(cc1C)n(cn2)S(=O)(=O)c3ccccc3
ZINC00117364	216.216	0.87	7.82	-71.33	0	4	62	-1	1	Cc1ccc2c(c1)c(=O)c(cn2C)C(=O)[O-]
ZINC00117365	326.396	2.83	-1.03	-11.88	1	5	62	0	5	C[C@@]1([C@@](N(C(=O)O1)Cc2ccccn2)(C)O)CCc3ccccc3
ZINC00117366	320.186	3.98	8.18	-12.26	1	3	38	0	4	Cc1cc(ccc1Br)OCC(=O)Nc2ccccc2
ZINC00117367	268.291	3.94	10.25	-7.6	0	3	35	0	1	Cc1cc2c(cc1C)n(cn2)C(=O)c3ccc(cc3)F
ZINC00117369	334.213	4.38	9.07	-12.22	1	3	38	0	4	Cc1ccccc1NC(=O)COc2ccc(c(c2)C)Br
ZINC00117370	278.355	4.60	2.34	-10.8	0	3	34	0	1	Cc1ccc(cc1C)C(=O)n2cnc3c2cc(c(c3)C)C
ZINC00117371	337.326	3.59	7.64	-10.96	1	4	47	0	4	c1cc(sc1)C(=O)Nc2ccc(cc2)n3ccc(n3)C(F)(F)F
ZINC00117375	348.24	4.78	0.79	-12.31	1	3	38	0	4	Cc1cccc(c1C)NC(=O)COc2ccc(c(c2)C)Br
ZINC00117376	293.37	3.87	2.43	-9.64	0	4	38	0	2	Cc1cc2c(cc1C)n(cn2)C(=O)c3ccc(cc3)N(C)C
ZINC00117377	325.408	4.00	-0.33	-14.06	1	4	49	0	5	C[C@]1([C@](N(C(=O)O1)Cc2ccccc2)(C)O)CCc3ccccc3
ZINC00117378	341.238	4.35	0.79	-9.86	1	4	55	0	5	Cc1c(c(no1)c2c(cccc2Cl)Cl)C(=O)NCCC(C)C
ZINC00117381	325.408	4.00	-0.37	-13.37	1	4	49	0	5	C[C@]1([C@@](N(C(=O)O1)Cc2ccccc2)(C)O)CCc3ccccc3
ZINC00117382	296.395	4.62	-0.45	-11.26	1	3	41	0	4	CC[C@@H](c1ccccc1)C(=O)Nc2nc3ccccc3s2
ZINC00117384	348.24	3.93	10.51	-12.5	0	3	30	0	5	Cc1cc(ccc1Br)OCC(=O)N(C)Cc2ccccc2
ZINC00117385	296.395	4.62	-0.7	-11.02	1	3	41	0	4	CC[C@H](c1ccccc1)C(=O)Nc2nc3ccccc3s2
ZINC00117386	325.408	4.00	-0.32	-14.13	1	4	49	0	5	C[C@@]1([C@@](N(C(=O)O1)Cc2ccccc2)(C)O)CCc3ccccc3
ZINC00117388	327.203	3.04	-1.04	-16.89	1	4	51	0	4	Cc1cc(ccc1Br)OCC(=O)Nc2nccs2
ZINC00117389	218.252	2.98	2.1	-8.98	0	3	36	0	0	C[C@]12CCc3ccccc3[C@@]1(OC(=O)O2)C
ZINC00117390	274.37	3.38	7.08	-13.23	1	3	42	0	3	c1ccc2c(c1)nc(s2)NC(=O)Cc3cccs3
ZINC00117391	218.252	2.98	2.5	-10.07	0	3	36	0	0	C[C@@]12CCc3ccccc3[C@@]1(OC(=O)O2)C
ZINC00117393	288.734	3.50	-0.81	-9.49	1	4	47	0	4	c1ccc2c(c1)[nH]c(=O)n2CCOc3ccc(cc3)Cl
ZINC00117402	274.726	3.92	1.23	-8.72	0	2	17	0	2	Cc1nc2ccccc2n1Cc3c(cccc3Cl)F
ZINC00117403	337.173	2.37	-0.89	-8.95	1	5	60	0	4	COc1cc(c(cc1Br)OC)NC(=O)c2cccnc2
ZINC00117404	247.347	1.97	4.74	-51.81	2	4	46	1	2	c1ccc(cc1)c2nc(sn2)N3CC[NH2+]CC3
ZINC00117405	264.328	4.32	2.1	-11.49	0	3	34	0	3	CC[C@@H](c1ccccc1)C(=O)n2cnc3c2cccc3
ZINC00117406	274.114	1.94	-0.46	-8.81	1	4	47	0	3	CC(=O)Nc1cc(c(cc1OC)Br)OC
ZINC00117407	264.328	4.32	1.69	-11.33	0	3	34	0	3	CC[C@H](c1ccccc1)C(=O)n2cnc3c2cccc3
ZINC00117408	345.472	3.96	8.2	-12.55	1	6	61	0	3	CC(C)(C)NC(=O)N1CCN(CC1)c2nc(ns2)c3ccccc3
ZINC00117410	188.23	1.58	3.68	-10.98	1	3	38	0	3	C=CCn1c2ccccc2nc1CO
ZINC00117411	286.718	3.63	8.38	-11.66	0	4	44	0	2	COc1ccc(cc1C(=O)n2cnc3c2cccc3)Cl
ZINC00117412	326.146	2.86	0.17	-8.65	1	5	60	0	4	COc1cc(c(cc1Br)OC)NC(=O)c2ccco2
ZINC00117413	338.458	2.32	-7.53	-14.19	0	6	66	0	4	CCS(=O)(=O)N1CCN(CC1)c2nc(ns2)c3ccccc3
ZINC00117414	264.325	1.64	-2.78	-10.53	1	5	56	0	7	CCOC(Cn1c2ccccc2nc1CO)OCC
ZINC00117415	332.335	3.04	7.2	-7.71	0	7	71	0	3	CC(C)n1c2c(nc1Oc3ccc(cc3)F)n(c(=O)n(c2=O)C)C
ZINC00117419	288.35	4.56	1.73	-10.04	0	3	30	0	4	c1ccc(cc1)CCn2c3ccccc3nc2c4ccco4
ZINC00117422	348.413	1.43	-0.07	-15.45	1	8	94	0	6	COc1ccc(cc1)n2c(nnn2)SCC(=O)Nc3nccs3
ZINC00117426	336.804	3.19	0	-8.86	0	6	61	0	2	Cn1c2c(nc1Sc3ccc(cc3)Cl)n(c(=O)n(c2=O)C)C
ZINC00117431	218.256	0.65	4.19	-14.48	1	4	49	0	2	CCN1c2ccccc2[C@@H](C1=O)NC(=O)C
ZINC00117433	338.726	2.91	1.05	-7.09	0	7	71	0	2	Cn1c2c(nc1Oc3ccc(cc3Cl)F)n(c(=O)n(c2=O)C)C
ZINC00117436	216.309	2.85	0.15	-10.38	0	2	18	0	1	CCn1c2ccccc2c3c1sc(n3)C
ZINC00117439	327.771	3.15	-0.2	-22.63	1	5	63	0	3	Cn1c(=O)c2ccccc2c(n1)CC(=O)Nc3ccc(cc3)Cl
ZINC00117440	216.309	3.30	-1.04	-9.35	1	2	28	0	1	CCc1ccc2c(c1)c3c([nH]2)sc(n3)C
ZINC00117441	258.281	1.91	0.71	-15.14	1	6	60	0	2	Cc1c(n2c3ccccc3n(c2n1)C)NC(=O)OC
ZINC00117443	328.315	4.00	2.77	-11.6	0	4	52	0	6	COC(=O)c1ccccc1CSc2nccc(n2)C(F)(F)F
ZINC00117446	304.752	3.90	8.41	-10.8	0	3	27	0	4	COCc1nc2ccccc2n1Cc3c(cccc3Cl)F
ZINC00117454	270.307	2.88	-1.19	-9.96	1	3	38	0	3	C[C@@H](c1nc2ccccc2n1Cc3ccccc3F)O
ZINC00117463	270.307	2.88	-1.23	-14.51	1	3	38	0	3	C[C@H](c1nc2ccccc2n1Cc3ccccc3F)O
ZINC00117468	212.256	2.09	-2.42	-8.51	1	4	45	0	1	CN(C)c1c2c(c3ccccc3[nH]2)ncn1
ZINC00117472	230.246	1.25	5.33	-8.67	1	4	45	0	1	CN(C)c1c2c(c3cc(ccc3[nH]2)F)ncn1
ZINC00117475	242.282	2.12	-2.41	-10.34	1	5	54	0	2	CN(C)c1c2c(c3cc(ccc3[nH]2)OC)ncn1
ZINC00117477	282.347	3.03	-2.87	-9.74	1	5	54	0	2	COc1ccc2c(c1)c3c([nH]2)c(ncn3)N4CCCCC4
ZINC00117480	226.283	2.51	-2.1	-8.44	1	4	45	0	1	Cc1ccc2c(c1)c3c([nH]2)c(ncn3)N(C)C
ZINC00117485	266.348	3.42	-2.55	-7.94	1	4	44	0	1	Cc1ccc2c(c1)c3c([nH]2)c(ncn3)N4CCCCC4
ZINC00117490	268.32	2.36	6.26	-8.09	1	5	54	0	1	Cc1ccc2c(c1)c3c([nH]2)c(ncn3)N4CCOCC4
ZINC00117492	264.256	0.92	0.75	-10.31	2	5	71	0	4	CCOC(=O)c1c(c2cc(ccc2[nH]1)F)NC(=O)C
ZINC00117493	290.364	4.06	-2.67	-47.63	1	4	73	-1	4	CC(C)(C)c1ccc(cc1)c2nc(c(s2)CC(=O)[O-])O
ZINC00117494	292.31	2.32	0.95	-9.62	2	5	71	0	6	CCCC(=O)Nc1c2cc(ccc2[nH]c1C(=O)OCC)F
ZINC00117496	292.313	4.46	2.14	-11.12	0	3	30	0	3	c1ccc(c(c1)Cn2c3ccccc3nc2c4ccco4)F
ZINC00117497	288.347	3.58	7.3	-9.15	2	5	71	0	6	CCCC(=O)Nc1c2cc(ccc2[nH]c1C(=O)OCC)C
ZINC00117500	203.265	1.64	6.56	-44.41	2	3	37	1	3	C[NH+](C)CC(=O)c1c[nH]c2c1cccc2
ZINC00117502	245.346	2.61	1.54	-34.43	2	3	37	1	5	CC[NH+](CC)CC(=O)c1c([nH]c2c1cccc2)C
ZINC00117504	259.329	1.71	-0.39	-37.99	2	4	46	1	3	Cc1c(c2ccccc2[nH]1)C(=O)C[NH+]3CCOCC3
ZINC00117505	309.118	4.37	1.76	-9.91	0	2	17	0	3	c1ccc2c(c1)nc(n2C[C@H]3CC3(Cl)Cl)C(F)(F)F
ZINC00117507	231.319	2.29	1.74	-37.21	2	3	37	1	3	Cc1ccc2c(c1)[nH]c(c2C(=O)C[NH+](C)C)C
ZINC00117509	259.373	3.04	2.08	-34.85	2	3	37	1	5	CC[NH+](CC)CC(=O)c1c([nH]c2c1ccc(c2)C)C
ZINC00117511	309.118	4.37	1.92	-9.8	0	2	17	0	3	c1ccc2c(c1)nc(n2C[C@@H]3CC3(Cl)Cl)C(F)(F)F
ZINC00117516	327.815	3.15	-1.42	-17.13	1	4	46	0	5	CC(=O)NCCc1nc2ccccc2n1Cc3ccccc3Cl
ZINC00117517	335.112	4.23	1.35	-5.86	1	3	41	0	3	c1cc(ccc1NC(=O)c2c(cc(cn2)C(F)(F)F)Cl)Cl
ZINC00117523	307.397	3.36	9.13	-16.15	1	4	47	0	6	CCC(=O)NCCc1nc2ccccc2n1Cc3ccccc3
ZINC00117528	341.842	4.04	-1.29	-17.16	1	4	46	0	6	CCC(=O)NCCc1nc2ccccc2n1Cc3ccc(cc3)Cl
ZINC00117533	312.678	4.07	3.81	-7.08	0	3	45	0	4	c1cc(ccc1C#N)OCc2c(cc(cn2)C(F)(F)F)Cl
ZINC00117536	341.842	3.99	-1.35	-16.82	1	4	46	0	6	CCC(=O)NCCc1nc2ccccc2n1Cc3ccccc3Cl
ZINC00117538	321.304	1.96	7.9	-19.79	0	6	67	0	6	COc1ccc(c(c1)Cn2cc(c(=O)c(c2)F)C(=O)OC)OC
ZINC00117540	329.249	2.82	10.2	-25.22	0	4	48	0	5	COC(=O)c1cn(cc(c1=O)F)Cc2ccc(cc2)C(F)(F)F
ZINC00117542	321.424	3.92	-0.99	-16.19	1	4	46	0	7	CCCC(=O)NCCc1nc2ccccc2n1Cc3ccccc3
